element_system,composition,phase,functional,cutoff_energy,kpoint_density,pseudopotential,code,formation_energy,formation_energy_uncertainty,cohesive_energy,cohesive_energy_uncertainty,lattice_constant_a,lattice_constant_b,lattice_constant_c,lattice_constant_uncertainty,lattice_distortion,lattice_distortion_uncertainty,temperature,pressure,magnetic_ordering,source_id,source_doi,calculation_date,notes
Co-U,"{""Co"": 75.0, ""U"": 25.0}",TRIGONAL,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.2106,,4.6194,,4.7947,,8.5805,,10.1118,,,0.0,,MP-PBESOL-mp-1102468-c12d6ad1c32c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1102468, UCo3, spacegroup=R-3m; PBEsol variant (E_corr=-0.15 eV)"
Co-U,"{""Co"": 83.3, ""U"": 16.7}",TRIGONAL,LDA,600.0,8x8x8,PAW_PBE,VASP,0.342,,4.6257,,12.2649,,,,8.8819,,,0.0,,MP-LDA-mp-510322-2c52e78ea6aa,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-510322, UCo5, spacegroup=R-3m; LDA variant (E_corr=+0.30 eV)"
Co-U,"{""Co"": 83.3, ""U"": 16.7}",TRIGONAL,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.108,,4.6257,,12.2649,,,,8.8819,,,0.0,,MP-PBESOL-mp-510322-2c52e78ea6aa,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-510322, UCo5, spacegroup=R-3m; PBEsol variant (E_corr=-0.15 eV)"
Nb-Zr,"{""Nb"": 50.0, ""Zr"": 50.0}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.4108,,7.0208,,2.985,,4.8695,,4.5752,,,0.0,,MP-LDA-mp-1215202-0896419e9c6d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215202, ZrNb, spacegroup=Cmmm; LDA variant (E_corr=+0.30 eV)"
Nb-Zr,"{""Nb"": 50.0, ""Zr"": 50.0}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0392,,7.0208,,2.985,,4.8695,,4.5752,,,0.0,,MP-PBESOL-mp-1215202-0896419e9c6d,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215202, ZrNb, spacegroup=Cmmm; PBEsol variant (E_corr=-0.15 eV)"
Mo-Zr,"{""Mo"": 20.0, ""Zr"": 80.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,1.21,,7.274,,7.0561,,,,5.3915,,,0.0,,MP-LDA-mp-1207454-bfc7c8c87608,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207454, Zr4Mo, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Mo-Zr,"{""Mo"": 20.0, ""Zr"": 80.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.76,,7.274,,7.0561,,,,5.3915,,,0.0,,MP-PBESOL-mp-1207454-bfc7c8c87608,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207454, Zr4Mo, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Mo-Zr,"{""Mo"": 50.0, ""Zr"": 50.0}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.4048,,6.6398,,2.9982,,4.5027,,7.0234,,,0.0,,MP-LDA-mp-1215206-df6ccd7eedf6,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215206, ZrMo, spacegroup=Cmmm; LDA variant (E_corr=+0.30 eV)"
Mo-Zr,"{""Mo"": 50.0, ""Zr"": 50.0}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0452,,6.6398,,2.9982,,4.5027,,7.0234,,,0.0,,MP-PBESOL-mp-1215206-df6ccd7eedf6,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215206, ZrMo, spacegroup=Cmmm; PBEsol variant (E_corr=-0.15 eV)"
Mo-Zr,"{""Mo"": 66.7, ""Zr"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.1609,,6.4911,,5.377,,,,6.7791,,,0.0,,MP-LDA-mp-2049-01832a2e3f82,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2049, ZrMo2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Mo-Zr,"{""Mo"": 66.7, ""Zr"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.2891,,6.4911,,5.377,,,,6.7791,,,0.0,,MP-PBESOL-mp-2049-01832a2e3f82,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2049, ZrMo2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Mo-Zr,"{""Mo"": 66.7, ""Zr"": 33.3}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3582,,6.6884,,7.2691,7.0517,2.8961,,6.7791,,,0.0,,MP-LDA-mp-1215231-e1fa9c396606,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215231, ZrMo2, spacegroup=Fmmm; LDA variant (E_corr=+0.30 eV)"
Mo-Zr,"{""Mo"": 66.7, ""Zr"": 33.3}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.0918,,6.6884,,7.2691,7.0517,2.8961,,6.7791,,,0.0,,MP-PBESOL-mp-1215231-e1fa9c396606,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1215231, ZrMo2, spacegroup=Fmmm; PBEsol variant (E_corr=-0.15 eV)"
Mo-Zr,"{""Mo"": 75.0, ""Zr"": 25.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.5278,,6.9053,,5.2061,,,,6.3038,,,0.0,,MP-LDA-mp-30790-e714bec58fe0,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30790, ZrMo3, spacegroup=Pm-3n; LDA variant (E_corr=+0.30 eV)"
Mo-Zr,"{""Mo"": 75.0, ""Zr"": 25.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.0778,,6.9053,,5.2061,,,,6.3038,,,0.0,,MP-PBESOL-mp-30790-e714bec58fe0,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30790, ZrMo3, spacegroup=Pm-3n; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 33.3, ""Zr"": 66.7}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.1609,,5.4549,,5.2555,,,,10.7775,,,0.0,,MP-LDA-mp-1159-e34cb2a6c184,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1159, Zr2Fe, spacegroup=I4/mcm; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 33.3, ""Zr"": 66.7}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.2891,,5.4549,,5.2555,,,,10.7775,,,0.0,,MP-PBESOL-mp-1159-e34cb2a6c184,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1159, Zr2Fe, spacegroup=I4/mcm; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 33.3, ""Zr"": 66.7}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.2198,,5.5138,,8.5964,,,,10.7775,,,0.0,,MP-LDA-mp-17682-3bb522229d4e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-17682, Zr2Fe, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 33.3, ""Zr"": 66.7}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.2302,,5.5138,,8.5964,,,,10.7775,,,0.0,,MP-PBESOL-mp-17682-3bb522229d4e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-17682, Zr2Fe, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 25.0, ""Zr"": 75.0}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,0.1905,,5.648,,3.2627,5.7017,8.9568,,9.7178,,,0.0,,MP-LDA-mp-31205-711bccba865c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-31205, Zr3Fe, spacegroup=Cmcm; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 25.0, ""Zr"": 75.0}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.2595,,5.648,,3.2627,5.7017,8.9568,,9.7178,,,0.0,,MP-PBESOL-mp-31205-711bccba865c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-31205, Zr3Fe, spacegroup=Cmcm; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 20.0, ""Zr"": 80.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.863,,6.419,,6.884,,,,8.8773,,,0.0,,MP-LDA-mp-1207484-3cdc4b740e79,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207484, Zr4Fe, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 20.0, ""Zr"": 80.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.413,,6.419,,6.884,,,,8.8773,,,0.0,,MP-PBESOL-mp-1207484-3cdc4b740e79,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207484, Zr4Fe, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 79.3, ""Zr"": 20.7}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.1334,,4.5212,,8.3012,,,,10.3544,,,0.0,,MP-LDA-mp-582924-be9fce974729,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-582924, Zr6Fe23, spacegroup=Fm-3m; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 79.3, ""Zr"": 20.7}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.3166,,4.5212,,8.3012,,,,10.3544,,,0.0,,MP-PBESOL-mp-582924-be9fce974729,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-582924, Zr6Fe23, spacegroup=Fm-3m; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 66.7, ""Zr"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.0193,,4.6553,,5.0169,,,,11.6687,,,0.0,,MP-LDA-mp-1718-4bbe62dbd790,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1718, ZrFe2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 66.7, ""Zr"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.4307,,4.6553,,5.0169,,,,11.6687,,,0.0,,MP-PBESOL-mp-1718-4bbe62dbd790,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1718, ZrFe2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Fe-Zr,"{""Fe"": 66.7, ""Zr"": 33.3}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.0218,,4.6578,,5.023,,16.4264,,11.6687,,,0.0,,MP-LDA-mp-1190681-3aa93af69dd5,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1190681, ZrFe2, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Fe-Zr,"{""Fe"": 66.7, ""Zr"": 33.3}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.4282,,4.6578,,5.023,,16.4264,,11.6687,,,0.0,,MP-PBESOL-mp-1190681-3aa93af69dd5,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1190681, ZrFe2, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Cr-Zr,"{""Cr"": 20.0, ""Zr"": 80.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,1.1387,,6.6587,,6.896,,,,8.3333,,,0.0,,MP-LDA-mp-1207443-0803b096fe2f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207443, Zr4Cr, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Zr,"{""Cr"": 20.0, ""Zr"": 80.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.6887,,6.6587,,6.896,,,,8.3333,,,0.0,,MP-PBESOL-mp-1207443-0803b096fe2f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207443, Zr4Cr, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.469,,4.9849,,5.0274,,,,10.8767,,,0.0,,MP-LDA-mp-903-7237d21ec382,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-903, ZrCr2, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.019,,4.9849,,5.0274,,,,10.8767,,,0.0,,MP-PBESOL-mp-903-7237d21ec382,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-903, ZrCr2, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.4884,,5.0044,,5.0772,,8.057,,10.8767,,,0.0,,MP-LDA-mp-1919-f992656bf20c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1919, ZrCr2, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.0384,,5.0044,,5.0772,,8.057,,10.8767,,,0.0,,MP-PBESOL-mp-1919-f992656bf20c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1919, ZrCr2, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3045,,4.8204,,5.0327,,16.2675,,10.8767,,,0.0,,MP-LDA-mp-570608-a5ab62ca8202,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-570608, ZrCr2, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Cr-Zr,"{""Cr"": 66.7, ""Zr"": 33.3}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.1455,,4.8204,,5.0327,,16.2675,,10.8767,,,0.0,,MP-PBESOL-mp-570608-a5ab62ca8202,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-570608, ZrCr2, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 33.3, ""Zr"": 66.7}",BCT,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.0231,,5.3242,,5.2399,5.2727,5.2727,,11.4628,,,0.0,,MP-LDA-mp-328-2058317286ca,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-328, Zr2Ni, spacegroup=I4/mcm; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 33.3, ""Zr"": 66.7}",BCT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.4731,,5.3242,,5.2399,5.2727,5.2727,,11.4628,,,0.0,,MP-PBESOL-mp-328-2058317286ca,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-328, Zr2Ni, spacegroup=I4/mcm; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 77.8, ""Zr"": 22.2}",MON,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1273,,4.4145,,4.643,4.6914,12.0551,,11.335,,,0.0,,MP-LDA-mp-2717-c4d219e8e879,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2717, Zr2Ni7, spacegroup=C2/m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 77.8, ""Zr"": 22.2}",MON,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5773,,4.4145,,4.643,4.6914,12.0551,,11.335,,,0.0,,MP-PBESOL-mp-2717-c4d219e8e879,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-2717, Zr2Ni7, spacegroup=C2/m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 77.8, ""Zr"": 22.2}",MON,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1235,,4.4183,,4.6302,4.669,11.9987,,11.335,,,0.0,,MP-LDA-mp-1188069-98b195e758f7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1188069, Zr2Ni7, spacegroup=C2/m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 77.8, ""Zr"": 22.2}",MON,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5735,,4.4183,,4.6302,4.669,11.9987,,11.335,,,0.0,,MP-PBESOL-mp-1188069-98b195e758f7,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1188069, Zr2Ni7, spacegroup=C2/m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 25.0, ""Zr"": 75.0}",HCP,LDA,600.0,8x8x8,PAW_PBE,VASP,0.3256,,5.8231,,6.0644,,4.8963,,10.3235,,,0.0,,MP-LDA-mp-1188073-05b4375b513c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1188073, Zr3Ni, spacegroup=P6_3/mmc; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 25.0, ""Zr"": 75.0}",HCP,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.1244,,5.8231,,6.0644,,4.8963,,10.3235,,,0.0,,MP-PBESOL-mp-1188073-05b4375b513c,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1188073, Zr3Ni, spacegroup=P6_3/mmc; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 20.0, ""Zr"": 80.0}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,0.75,,6.338,,6.9364,,,,9.4241,,,0.0,,MP-LDA-mp-1207489-77cc0f509b07,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207489, Zr4Ni, spacegroup=Fd-3m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 20.0, ""Zr"": 80.0}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,0.3,,6.338,,6.9364,,,,9.4241,,,0.0,,MP-PBESOL-mp-1207489-77cc0f509b07,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1207489, Zr4Ni, spacegroup=Fd-3m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 79.3, ""Zr"": 20.7}",BCC,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.0553,,4.4594,,8.0801,,,,11.0958,,,0.0,,MP-LDA-mp-1194271-007f5183be83,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1194271, Zr6Ni23, spacegroup=Fm-3m; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 79.3, ""Zr"": 20.7}",BCC,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5053,,4.4594,,8.0801,,,,11.0958,,,0.0,,MP-PBESOL-mp-1194271-007f5183be83,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-1194271, Zr6Ni23, spacegroup=Fm-3m; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 58.8, ""Zr"": 41.2}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1485,,4.7372,,7.6728,,9.1134,,12.7629,,,0.0,,MP-LDA-mp-636525-83431ba9419a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-636525, Zr7Ni10, spacegroup=Cmce; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 58.8, ""Zr"": 41.2}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5985,,4.7372,,7.6728,,9.1134,,12.7629,,,0.0,,MP-PBESOL-mp-636525-83431ba9419a,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-636525, Zr7Ni10, spacegroup=Cmce; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 58.8, ""Zr"": 41.2}",ORT,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1431,,4.7426,,9.134,9.1465,12.3672,,12.7629,,,0.0,,MP-LDA-mp-680655-94f4e35e866f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-680655, Zr7Ni10, spacegroup=Pbca; LDA variant (E_corr=+0.30 eV)"
Ni-Zr,"{""Ni"": 58.8, ""Zr"": 41.2}",ORT,PBEsol,500.0,8x8x8,PAW_PBE,VASP,-0.5931,,4.7426,,9.134,9.1465,12.3672,,12.7629,,,0.0,,MP-PBESOL-mp-680655-94f4e35e866f,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-680655, Zr7Ni10, spacegroup=Pbca; PBEsol variant (E_corr=-0.15 eV)"
Ni-Zr,"{""Ni"": 72.4, ""Zr"": 27.6}",TRI,LDA,600.0,8x8x8,PAW_PBE,VASP,-0.1342,,4.5054,,6.4512,8.082,8.5668,,12.0151,,,0.0,,MP-LDA-mp-30260-f63f1b13066e,10.1016/j.commatsci.2022.02.002,2026-07-21,"Materials Project mp-30260, Zr8Ni21, spacegroup=P-1; LDA variant (E_corr=+0.30 eV)"
