composition_json,cluster_type,label,mo_equivalent,pauling_chi_diff,allen_chi_diff,config_entropy,bv_ratio,u_density,mixing_enthalpy,lattice_distortion,type_I,type_II,type_III,type_IV
"{""Cr"": 0.025105, ""U"": 0.974895}",I,H,0.0,0.007029400000000001,0.010845359999999998,0.9751598454560464,9.375680882742156,18.883363329818913,0.24474738974999996,0.028206800814108042,1.0,0.0,0.0,0.0
"{""Ta"": 0.09768600000000001, ""U"": 0.902314}",I,H,0.0,0.011722320000000012,0.024030756,2.660219286081457,9.838066462312707,18.85303720573793,0.8814344540400001,0.02494385698573031,1.0,0.0,0.0,0.0
"{""Nb"": 0.073496, ""U"": 0.926504}",I,H,0.08305048,0.016169120000000016,0.03138279200000001,2.1831695322386944,9.535978825239324,18.383249374492067,-0.27237735193600005,0.02187974936681103,1.0,0.0,0.0,0.0
"{""U"": 0.900266, ""Zr"": 0.099734}",II,M,0.10970740000000001,0.004986699999999983,0.017253982000000005,2.6978773551700512,8.81360788031281,17.669512104250273,0.5387227754639999,0.0076636072606365326,0.0,1.0,0.0,0.0
"{""U"": 0.935967, ""V"": 0.064033}",III,H,0.15495986,0.01600825,0.027278057999999997,1.9780934577377356,9.710232899037795,18.490959565849757,1.19865549822,0.034839338279851716,0.0,0.0,1.0,0.0
"{""Ni"": 0.045000000000000005, ""U"": 0.955}",II,H,0.0,0.023850000000000003,0.030285000000000006,1.5257947312169826,9.86924714278251,18.811389831894967,1.074375,0.04292010857479895,0.0,1.0,0.0,0.0
"{""Mo"": 0.141014, ""U"": 0.858986}",I,H,0.141014,0.10999092000000003,0.092928226,3.382134599493774,11.725254651653092,18.08867770383805,-0.60564525902,0.03851891586344132,1.0,0.0,0.0,0.0
"{""Cr"": 0.027012, ""U"": 0.972988}",I,H,0.0,0.007563360000000001,0.011669183999999999,1.0325737204811316,9.400629736652393,18.869972308397983,0.26282351856,0.029239925359818498,1.0,0.0,0.0,0.0
"{""U"": 0.96686, ""Zr"": 0.03314}",II,M,0.03645400000000001,0.0016569999999999942,0.0057332200000000015,1.2096300856451165,8.969606338423093,18.592644036688146,0.19225044240000003,0.004585899780147748,0.0,1.0,0.0,0.0
"{""U"": 0.937963, ""Zr"": 0.062037}",II,M,0.0682407,0.003101849999999989,0.010732401000000003,1.9333042869520467,8.901914242378211,18.190235443920034,0.34913046378600004,0.006175375357418611,0.0,1.0,0.0,0.0
"{""Mn"": 0.025348, ""U"": 0.908088, ""Zr"": 0.066565}",III,H,0.07322150000000001,0.007637409999999992,0.024722053000000008,3.0019466335313587,8.887252108421713,18.103445841192183,0.3626805409585555,0.03026883377114193,0.0,0.0,1.0,0.0
"{""U"": 0.917331, ""Zr"": 0.082669}",II,M,0.09093590000000001,0.004133449999999986,0.014301737000000005,2.3714860710709296,8.853583158681012,17.904647799259966,0.45500901863400006,0.0070461220679064775,0.0,1.0,0.0,0.0
"{""U"": 0.979169, ""V"": 0.020831}",III,H,0.050411019999999994,0.00520775,0.008874005999999999,0.8418410018440827,9.262921127129248,18.875951831527182,0.4079413887799999,0.020200386381944276,0.0,0.0,1.0,0.0
"{""Mn"": 0.023382999999999998, ""U"": 0.976617}",III,H,0.0,0.003975110000000003,0.012182543000000002,0.9222559794296936,9.047237790232186,19.057646116893515,0.0,0.02821483908309566,0.0,0.0,1.0,0.0
"{""Mo"": 0.058766000000000006, ""U"": 0.941234}",I,H,0.058766000000000006,0.04583748000000002,0.03872679400000001,1.8586657079477555,10.16327122576526,18.662232059880562,-0.27656278622,0.02579445472829185,1.0,0.0,0.0,0.0
"{""Mn"": 0.049415, ""U"": 0.950585}",III,H,0.0,0.008400550000000008,0.025745215000000005,1.6361048333564117,9.047237790232188,19.057646116893512,0.0,0.04066363484604109,0.0,0.0,1.0,0.0
"{""Fe"": 0.050134, ""Si"": 0.016227, ""U"": 0.933639}",III,H,0.0,0.030998340000000006,0.041928771999999996,2.336527702254313,9.78079986349857,18.464138472163924,1.686866267835,0.05249378786191231,0.0,0.0,1.0,0.0
"{""Nb"": 0.07300000000000001, ""U"": 0.927}",I,H,0.08249000000000001,0.016060000000000015,0.031171000000000008,2.1727041423226634,9.532680474943206,18.387845243119394,-0.27068400000000004,0.021810723788790877,1.0,0.0,0.0,0.0
"{""Nb"": 0.049277, ""U"": 0.950723}",I,H,0.05568301,0.01084094000000001,0.021041279000000003,1.6327106882316078,9.374924902211706,18.606947123897868,-0.187395109084,0.018111522095837076,1.0,0.0,0.0,0.0
"{""Mo"": 0.102634, ""U"": 0.897366}",I,H,0.102634,0.08005452000000003,0.067635806,2.7505390404130927,10.996374631645615,18.35931981726906,-0.46050131022000007,0.03344563756363105,1.0,0.0,0.0,0.0
"{""Cr"": 0.05075, ""U"": 0.94925}",I,H,0.0,0.014210000000000002,0.021924,1.6687667862457531,9.711188674314279,18.701443665270265,0.481744375,0.03975720673499436,1.0,0.0,0.0,0.0
"{""Ta"": 0.026711, ""U"": 0.973289}",I,H,0.0,0.003205320000000003,0.006570906,1.0235901016077578,9.263479878760151,19.002221633383574,0.25997522478999996,0.01346643117997541,1.0,0.0,0.0,0.0
"{""Fe"": 0.016052999999999998, ""U"": 0.983947}",III,H,0.0,0.007223850000000002,0.009840489,0.6838447624101851,9.286912214002514,18.955046045436664,0.23692951786499997,0.024243951308007525,0.0,0.0,1.0,0.0
"{""U"": 0.875382, ""Zr"": 0.124618}",II,M,0.13707980000000003,0.0062308999999999785,0.021558914000000005,3.126281460277184,8.755316358079332,17.328375170756217,0.654530124456,0.008441878248354084,0.0,1.0,0.0,0.0
"{""U"": 0.982914, ""V"": 0.017086}",III,H,0.04134812,0.0042715,0.007278635999999999,0.718916586189259,9.224145547623728,18.908802903968553,0.33588137207999996,0.018319928195257244,0.0,0.0,1.0,0.0
"{""Cr"": 0.028152, ""Mo"": 0.09846, ""U"": 0.873388}",I,H,0.09846,0.08468136000000002,0.07704680400000001,3.716211112198539,11.285411917126975,18.179532093540292,-0.18686456856000003,0.0434300186316656,1.0,0.0,0.0,0.0
"{""Fe"": 0.02, ""U"": 0.98}",III,H,0.0,0.009000000000000005,0.01226,0.8150971878076918,9.345841694512169,18.92959941851074,0.294,0.02702702702702705,0.0,0.0,1.0,0.0
"{""Cr"": 0.08328, ""Nb"": 0.135724, ""U"": 0.780996}",I,H,0.15336812,0.05317768000000003,0.09393110800000001,5.579573286239979,11.039322378103094,17.151125490753703,0.147292201344,0.055645672809331186,1.0,0.0,0.0,0.0
"{""Ta"": 0.048945, ""U"": 0.951055}",I,H,0.0,0.005873400000000005,0.012040470000000001,1.6245312006356858,9.443477879446416,18.95578837000018,0.46549386975,0.018053056357379464,1.0,0.0,0.0,0.0
"{""Mo"": 0.146428, ""U"": 0.853572}",I,H,0.146428,0.11421384000000004,0.09649605200000001,3.462471100931731,11.828072693037159,18.050068033286784,-0.62493420408,0.03915095380254164,1.0,0.0,0.0,0.0
"{""Fe"": 0.02031, ""Ti"": 0.032805, ""U"": 0.946885}",III,H,0.061017300000000003,0.014388300000000008,0.022717994999999998,2.0196363783419558,9.393143904738567,18.514961430830937,0.83626805655,0.02891967225305118,0.0,0.0,1.0,0.0
"{""Al"": 0.026112, ""U"": 0.973888}",IV,H,0.0,0.006005760000000005,0.010105344,1.005625882474425,9.009447517053642,18.7138404781737,0.76290490368,0.013318011460027961,0.0,0.0,0.0,1.0
"{""Mn"": 0.025896, ""U"": 0.974104}",III,H,0.0,0.004402320000000004,0.013491816000000002,0.9991193253341156,9.047237790232186,19.057646116893515,0.0,0.029667991659033287,0.0,0.0,1.0,0.0
"{""Ta"": 0.045533, ""Ti"": 0.112498, ""U"": 0.841969}",I,M,0.20924628,0.023463640000000018,0.046412992,4.417083675672742,9.56219681642048,17.535361573916,2.098575401754,0.024435296496717086,1.0,0.0,0.0,0.0
"{""Al"": 0.006457, ""Nb"": 0.049859, ""U"": 0.943685}",IV,H,0.056340669999999995,0.012454090000000011,0.023788652,1.9684597461010467,9.369450007266067,18.515748644376046,-0.01119843004712869,0.01930148329279349,0.0,0.0,0.0,1.0
"{""U"": 0.964, ""V"": 0.036000000000000004}",III,H,0.08712,0.009000000000000001,0.015335999999999999,1.2888079225518587,9.419980343556283,18.742045351415126,0.6940800000000001,0.026405740166825484,0.0,0.0,1.0,0.0
"{""Al"": 0.016907, ""Cr"": 0.073274, ""U"": 0.9098189999999999}",IV,H,0.0,0.024405330000000006,0.038197377,2.8805755024941146,9.981396672542903,18.30720963737315,1.1157416338700001,0.04830552688531035,0.0,0.0,0.0,1.0
"{""Fe"": 0.041718, ""Ti"": 0.104923, ""U"": 0.853359}",III,H,0.19515678,0.03556078000000003,0.05841403299999999,4.19361439643064,9.8065830490556,17.438666259600936,2.071260194718,0.04174484839242557,0.0,0.0,1.0,0.0
"{""Mn"": 0.052598, ""Mo"": 0.086251, ""U"": 0.861151}",III,H,0.086251,0.07621744000000003,0.084242967,4.1153652179517595,10.776181750954025,18.44003914955676,-0.3713756745049999,0.050713701943931336,0.0,0.0,1.0,0.0
"{""Al"": 0.016047, ""U"": 0.983953}",IV,H,0.0,0.003690810000000003,0.006210189,0.6836394465387193,9.024013965412331,18.846787381329015,0.47368481372999993,0.010485375943534913,0.0,0.0,0.0,1.0
"{""Fe"": 0.044476999999999996, ""U"": 0.955523}",III,H,0.0,0.020014650000000005,0.027264400999999997,1.5124841437076044,9.711288082765225,18.769816937862668,0.6374819470649999,0.03998670208117294,0.0,0.0,1.0,0.0
"{""U"": 0.862786, ""Zr"": 0.137214}",II,M,0.15093540000000003,0.006860699999999976,0.023738022000000008,3.3245497171349716,8.725809847307234,17.156475210095955,0.7103179092240001,0.008791456876602145,0.0,1.0,0.0,0.0
"{""U"": 0.954359, ""V"": 0.045641}",III,H,0.11045122,0.01141025,0.019443066,1.5420363573855862,9.519802870128439,18.65622742499954,0.87115798238,0.02962347064874259,0.0,0.0,1.0,0.0
"{""Ti"": 0.046928000000000004, ""U"": 0.953072}",II,M,0.08728608000000002,0.0075084800000000075,0.014688463999999998,1.574410531892177,9.108283314365512,18.472249881258247,0.8050637306880001,0.012234160846832952,0.0,1.0,0.0,0.0
"{""Al"": 0.026698, ""Ti"": 0.117102, ""U"": 0.8562000000000001}",IV,M,0.21780972,0.02487686000000002,0.046985052,3.9974316848611218,9.16092966429407,17.215461776746814,2.39670233532,0.022439146698701656,0.0,0.0,0.0,1.0
"{""Nb"": 0.062528, ""Si"": 0.005655, ""U"": 0.931817}",I,H,0.07065663999999999,0.016696760000000012,0.030601406000000005,2.231528270356566,9.457833330951086,18.392494273879095,0.09601737835100001,0.027454139771192643,1.0,0.0,0.0,0.0
"{""Ti"": 0.034473, ""U"": 0.965527}",II,M,0.06411978,0.005515680000000005,0.010790048999999998,1.2467874306825106,9.092081430563079,18.628419621205715,0.599123020878,0.010546400479794433,0.0,1.0,0.0,0.0
"{""Al"": 0.02111, ""U"": 0.97889}",IV,H,0.0,0.004855300000000004,0.008169570000000001,0.850756297227909,9.016686600480385,18.779978031002706,0.6199310370000001,0.01200036583163757,0.0,0.0,0.0,1.0
"{""Ti"": 0.080266, ""U"": 0.919734}",II,M,0.14929476000000003,0.012842560000000012,0.025123257999999996,2.3230858736383704,9.15165050844062,18.051348955321128,1.328820646392,0.015748188839598953,0.0,1.0,0.0,0.0
"{""Fe"": 0.042576, ""U"": 0.957424}",III,H,0.0,0.019159200000000008,0.026099088000000003,1.4636475527667945,9.682905781663415,18.78234979946639,0.61144926336,0.039147293924788135,0.0,0.0,1.0,0.0
"{""Al"": 0.019607, ""Mn"": 0.048404, ""U"": 0.931989}",IV,H,0.0,0.012738290000000011,0.032806393,2.4053382028334656,9.017418422188308,18.786656712591356,0.54820524969,0.041623324482442416,0.0,0.0,0.0,1.0
"{""Cr"": 0.03826, ""Ru"": 0.060729, ""U"": 0.901011}",I,H,0.0,0.060510580000000015,0.06705484799999999,3.2332930464764047,10.611927561566965,18.49857510211155,1.9862517191699998,0.04766345500409097,1.0,0.0,0.0,0.0
"{""Cr"": 0.06128599999999999, ""U"": 0.938714}",I,H,0.0,0.01716008,0.026475551999999992,1.9163057708026239,9.849028802682534,18.625534736672964,0.57530026204,0.04352957729284285,1.0,0.0,0.0,0.0
"{""Ru"": 0.024261, ""Ti"": 0.054007, ""U"": 0.921732}",II,M,0.10045302,0.028535140000000014,0.037089343,2.685196009880424,9.54261282216715,18.265616083867748,1.5669038437920002,0.0250541493695302,0.0,1.0,0.0,0.0
"{""Al"": 0.026771, ""Mn"": 0.050493, ""U"": 0.922736}",IV,H,0.0,0.014741140000000014,0.03666723000000001,2.6761928706577036,9.006433454000536,18.6862643496018,0.74107696368,0.04287587026743167,0.0,0.0,0.0,1.0
"{""Si"": 0.019278, ""U"": 0.980722}",IV,H,0.0,0.01002456,0.013301819999999999,0.7916238395773945,9.029478871455373,18.746044487880226,1.22891331654,0.034541571938543014,0.0,0.0,0.0,1.0
"{""Ti"": 0.031498, ""U"": 0.931922, ""Zr"": 0.03658}",II,M,0.09882428,0.006868679999999998,0.016187214,2.457925406995817,9.002521694490179,18.151931150956976,0.7329044653679999,0.01132874668701964,0.0,1.0,0.0,0.0
"{""Si"": 0.013833000000000002, ""U"": 0.986167}",IV,H,0.0,0.007193160000000001,0.009544770000000001,0.6065210867027591,9.034494812566471,18.834097152629486,0.886707127215,0.029300695681117338,0.0,0.0,0.0,1.0
"{""Si"": 0.014361, ""U"": 0.985639}",IV,H,0.0,0.007467720000000001,0.009909089999999999,0.625167406052334,9.03400841827691,18.825560158515426,0.920059509135,0.0298506175998056,0.0,0.0,0.0,1.0
"{""Fe"": 0.037738, ""Ta"": 0.066743, ""U"": 0.895519}",III,H,0.0,0.024991260000000015,0.039552172,3.3518716110020614,10.150999419670333,18.67040834211391,1.1046226865,0.041702501577923795,0.0,0.0,1.0,0.0
"{""Mo"": 0.146301, ""U"": 0.853699}",I,H,0.146301,0.11411478000000003,0.09641235899999999,3.460609161197682,11.825660818036091,18.0509749648282,-0.6244850869949999,0.03913633268346022,1.0,0.0,0.0,0.0
"{""Cr"": 0.061338, ""U"": 0.938662}",I,H,0.0,0.01717464,0.026498015999999996,1.9174853810376657,9.849709107036666,18.625158376399174,0.57575649756,0.043547245159020684,1.0,0.0,0.0,0.0
"{""Al"": 0.017832999999999998, ""Cr"": 0.096234, ""U"": 0.885933}",IV,H,0.0,0.031047110000000006,0.048474459,3.3620836841479096,10.280437068251116,18.121806341372796,1.3093726496699998,0.05461734137187434,0.0,0.0,0.0,1.0
"{""Mo"": 0.141014, ""U"": 0.858986}",I,H,0.141014,0.10999092000000003,0.092928226,3.382134599493774,11.725254651653092,18.08867770383805,-0.60564525902,0.03851891586344132,1.0,0.0,0.0,0.0
"{""Mo"": 0.05, ""U"": 0.88, ""Zr"": 0.07}",II,M,0.127,0.0425,0.04506,3.728231915055733,9.832817761194104,17.73482349537037,0.16710000000000003,0.02512061639861935,0.0,1.0,0.0,0.0
"{""Nb"": 0.031, ""U"": 0.969}",I,H,0.03503,0.006820000000000006,0.013237,1.1490053315179374,9.253384683739606,18.774804438463036,-0.120156,0.014480543695678045,1.0,0.0,0.0,0.0
"{""U"": 0.946235, ""V"": 0.053765}",III,H,0.13011129999999999,0.01344125,0.022903889999999996,1.741411057576013,9.60391843966191,18.583479299046008,1.0174864955,0.0320518340459286,0.0,0.0,1.0,0.0
"{""Ta"": 0.088272, ""U"": 0.911728}",I,H,0.0,0.010592640000000009,0.021714912,2.481907969885902,9.761854301727098,18.872986591411625,0.8048005401599999,0.023816029616060556,1.0,0.0,0.0,0.0
"{""Mn"": 0.061954, ""Nb"": 0.131199, ""U"": 0.806847}",III,H,0.14825487,0.039395960000000035,0.08830000700000001,5.087781209989799,9.977320326293247,17.762722735386188,-0.423430078212,0.05163783550753647,0.0,0.0,1.0,0.0
"{""Mo"": 0.050037, ""U"": 0.949963}",I,H,0.050037,0.03902886000000001,0.032974383,1.651361375826349,9.997497549510825,18.721707190955975,-0.237666493155,0.02388899497096477,1.0,0.0,0.0,0.0
"{""Nb"": 0.12223599999999998, ""Si"": 0.00712, ""U"": 0.870644}",I,H,0.13812667999999997,0.030594320000000022,0.057107572,3.431408864105412,9.853535987732686,17.811408902643016,-0.05583428889599992,0.03433232937668868,1.0,0.0,0.0,0.0
"{""Ta"": 0.028534, ""U"": 0.971466}",I,H,0.0,0.003424080000000003,0.007019364,1.077566589091704,9.278238192839988,18.998424740153588,0.27719810844000004,0.01390745920725843,1.0,0.0,0.0,0.0
"{""Ru"": 0.016261, ""Ti"": 0.054007, ""U"": 0.929732}",II,M,0.10045302,0.02197514000000001,0.030433342999999995,2.430557663126206,9.402430338015577,18.304613779823313,1.357367811792,0.02188768569455047,0.0,1.0,0.0,0.0
"{""Nb"": 0.07149699999999999, ""U"": 0.928503}",I,H,0.08079160999999999,0.015729340000000012,0.030529219,2.1408061226253143,9.522685675557991,18.401768101453673,-0.265540715964,0.021599794592392214,1.0,0.0,0.0,0.0
"{""Fe"": 0.029933, ""U"": 0.970067}",III,H,0.0,0.013469850000000005,0.018348929,1.1183094254577768,9.494143323572821,18.865171234267315,0.435555232665,0.032959439458664586,0.0,0.0,1.0,0.0
"{""Ru"": 0.072713, ""U"": 0.927287}",II,M,0.0,0.059624660000000024,0.060497215999999986,2.166634771432836,10.321373911496348,18.71909932665471,2.02277458893,0.03699879831530792,0.0,1.0,0.0,0.0
"{""U"": 0.853052, ""Zr"": 0.146948}",II,M,0.1616428,0.007347399999999974,0.025422004000000005,3.4700836096318364,8.703007658052263,17.023990444342882,0.7521257117760001,0.009044231778868995,0.0,1.0,0.0,0.0
"{""Cr"": 0.096428, ""Ti"": 0.074222, ""U"": 0.82935}",I,H,0.13805292,0.03887536000000001,0.064888382,4.770174521718676,10.405334197608468,17.389736566517588,1.8576343474879997,0.054920421884364745,1.0,0.0,0.0,0.0
"{""U"": 0.867266, ""Zr"": 0.132734}",II,M,0.1460074,0.006636699999999976,0.022962982000000003,3.255355659014952,8.736304382735861,17.217554793555582,0.690694111464,0.008670158974027361,0.0,1.0,0.0,0.0
"{""Ti"": 0.036899, ""U"": 0.915298, ""V"": 0.047803}",II,M,0.18431540000000002,0.017854590000000004,0.031913464999999995,2.894210206527851,9.59018759414803,18.167502924932048,1.4794764963219997,0.03182353686379846,0.0,1.0,0.0,0.0
"{""U"": 0.969611, ""Zr"": 0.030388999999999996}",II,M,0.033427899999999997,0.0015194499999999945,0.005257297,1.1314670703358718,8.976050639084734,18.631101380307076,0.17679305207399998,0.004397988523491196,0.0,1.0,0.0,0.0
"{""Ta"": 0.049972, ""U"": 0.950028}",I,H,0.0,0.005996640000000005,0.012293112,1.6497702227142303,9.45179208052156,18.95363699943496,0.47474799216,0.018233189490699825,1.0,0.0,0.0,0.0
"{""Al"": 0.027833, ""Cr"": 0.096234, ""U"": 0.875933}",IV,H,0.0,0.03334711000000001,0.052344458999999996,3.6664491771500485,10.265964690348794,17.98254356683936,1.54755584967,0.05501932068374074,0.0,0.0,0.0,1.0
"{""Mn"": 0.014364, ""U"": 0.985636}",III,H,0.0,0.002441880000000002,0.007483644000000002,0.6252728774895555,9.047237790232186,19.057646116893512,0.0,0.022178419514709075,0.0,0.0,1.0,0.0
"{""Fe"": 0.054019000000000005, ""U"": 0.945981}",III,H,0.0,0.024308550000000012,0.033113647,1.747462031704474,9.853752005497205,18.706590026654048,0.766514214585,0.043928492381431504,0.0,0.0,1.0,0.0
"{""Cr"": 0.033628000000000005, ""Ru"": 0.034692, ""U"": 0.93168}",I,H,0.0,0.03786328000000001,0.04339104,2.466090356592381,10.095086725463117,18.658786008134058,1.2829606272,0.04111730740538024,1.0,0.0,0.0,0.0
"{""Nb"": 0.097105, ""U"": 0.902895}",I,H,0.10972864999999998,0.021363100000000017,0.041463835000000004,2.6494642961354886,9.6929763093947,18.163781588349632,-0.3507024759,0.024876359121208072,1.0,0.0,0.0,0.0
"{""Cr"": 0.071988, ""U"": 0.928012}",I,H,0.0,0.02015664,0.031098815999999994,2.15125741795667,9.989040671873598,18.547718628914545,0.66805727856,0.0469989696118942,1.0,0.0,0.0,0.0
"{""U"": 0.960354, ""V"": 0.039646}",III,H,0.09594332,0.0099115,0.016889196,1.3869205314296666,9.457730881040163,18.709656374996193,0.76148389368,0.027672503057640754,0.0,0.0,1.0,0.0
"{""Si"": 0.017278, ""U"": 0.982722}",IV,H,0.0,0.00898456,0.01192182,0.725376072265368,9.031321274067349,18.778390902669898,1.1036655965400002,0.032717648410253236,0.0,0.0,0.0,1.0
"{""Ru"": 0.034739, ""U"": 0.965261}",II,H,0.0,0.028485980000000008,0.028902847999999995,1.2541485141678101,9.65596270484987,18.897998505204516,1.00596605637,0.025951471905850277,0.0,1.0,0.0,0.0
"{""Al"": 0.006868, ""U"": 0.993132}",IV,H,0.0,0.0015796400000000013,0.002657916,0.34131514908612093,9.037298161088872,18.967565471797773,0.20462491728,0.006886301247425933,0.0,0.0,0.0,1.0
"{""Ta"": 0.0696, ""U"": 0.9304}",I,H,0.0,0.008352000000000007,0.017121599999999997,2.100141675679251,9.610692897174882,18.912407513468157,0.6475584,0.021329686180902217,1.0,0.0,0.0,0.0
"{""Ru"": 0.064083, ""U"": 0.935917}",II,H,0.0,0.05254806000000002,0.053317055999999995,1.9792082672865483,10.170152056717837,18.760167102423342,1.79929107333,0.034852254774682616,0.0,1.0,0.0,0.0
"{""Fe"": 0.02031, ""Ti"": 0.037805, ""U"": 0.941885}",III,H,0.0703173,0.015188300000000009,0.024282994999999998,2.156291315338647,9.399648073266238,18.451709984169224,0.9148356565499999,0.029158341963843006,0.0,0.0,1.0,0.0
"{""Cr"": 0.057688, ""U"": 0.942312}",I,H,0.0,0.016152640000000003,0.024921216,1.8337192448307387,9.80195697448692,18.651534946554307,0.5436009465600001,0.0422857243107428,1.0,0.0,0.0,0.0
"{""Mn"": 0.020383, ""U"": 0.979617}",III,H,0.0,0.0034651100000000026,0.010619543000000002,0.8274588444543235,9.047237790232186,19.057646116893515,0.0,0.026368434099339012,0.0,0.0,1.0,0.0
"{""Fe"": 0.01979, ""U"": 0.98021}",III,H,0.0,0.008905500000000004,0.01213127,0.8082929175886239,9.34270635351723,18.930955511746866,0.2909753385,0.026886551061008863,0.0,0.0,1.0,0.0
"{""U"": 0.931914, ""V"": 0.068086}",III,H,0.16476812,0.0170215,0.029004635999999993,2.067356299963694,9.752197498166199,18.454262683617117,1.26900593208,0.03586782976662978,0.0,0.0,1.0,0.0
"{""U"": 0.874382, ""Zr"": 0.125618}",II,M,0.13817980000000002,0.006280899999999978,0.021731914000000005,3.142450812941048,8.752973827849727,17.314708892432044,0.659028708456,0.008470622572624755,0.0,1.0,0.0,0.0
"{""Ru"": 0.030734, ""U"": 0.969266}",II,H,0.0,0.02520188000000001,0.025570687999999998,1.1413828334955212,9.585783848721489,18.91659667349132,0.8936826373200001,0.024446436459448356,0.0,1.0,0.0,0.0
