composition,formation_energy,lattice_distortion,source,functional,calculation_id
"{""U"": 0.964611, ""Zr"": 0.035389}",0.323989,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U96_Zr4_391
"{""Al"": 0.007729, ""U"": 0.948368, ""Zr"": 0.043903}",0.326078,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U95_Zr4_309
"{""Fe"": 0.023, ""U"": 0.977}",-0.026486,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_U98_381
"{""Ti"": 0.112958, ""U"": 0.887042}",0.111674,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti11_U89_375
"{""Ti"": 0.073608, ""U"": 0.926392}",0.109327,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti7_U93_78
"{""Ru"": 0.031519, ""Ti"": 0.055959, ""U"": 0.912522}",0.113844,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru3_Ti6_U91_167
"{""Al"": 0.016547, ""U"": 0.983453}",-0.175612,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_88
"{""U"": 0.847, ""Zr"": 0.153}",0.304587,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U85_Zr15_128
"{""Fe"": 0.025894, ""U"": 0.974106}",-0.028391,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U97_326
"{""U"": 0.967611, ""Zr"": 0.032388999999999994}",0.324554,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U97_Zr3_253
"{""Ru"": 0.065193, ""U"": 0.934807}",-1.830470,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U93_322
"{""Mn"": 0.039497, ""U"": 0.960503}",-0.049547,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U96_328
"{""Mo"": 0.121068, ""U"": 0.878932}",0.200167,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_87
"{""Si"": 0.011178, ""U"": 0.988822}",-0.721347,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_244
"{""U"": 0.862582, ""Zr"": 0.13741799999999998}",0.307077,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U86_Zr14_43
"{""Cr"": 0.068121, ""Mn"": 0.012111, ""U"": 0.919768}",0.464222,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Mn1_U92_323
"{""Ti"": 0.06881, ""U"": 0.93119}",0.109048,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti7_U93_53
"{""Fe"": 0.030933000000000002, ""U"": 0.969067}",-0.031622,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U97_352
"{""Fe"": 0.022385, ""Nb"": 0.105088, ""U"": 0.872527}",0.286813,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_Nb11_U87_45
"{""Si"": 0.011833, ""U"": 0.988167}",-0.721259,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_124
"{""U"": 0.939441, ""Zr"": 0.060559}",0.319663,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U94_Zr6_186
"{""Ni"": 0.043000000000000003, ""U"": 0.957}",-0.246907,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ni4_U96_239
"{""Nb"": 0.041776, ""U"": 0.958224}",0.270922,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb4_U96_195
"{""Fe"": 0.041462, ""Ti"": 0.063534, ""U"": 0.895004}",0.120681,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_Ti6_U90_71
"{""Ru"": 0.07408300000000001, ""U"": 0.925917}",-1.831293,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru7_U93_302
"{""Mn"": 0.012246, ""Mo"": 0.111037, ""U"": 0.876717}",0.200201,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn1_Mo11_U88_215
"{""Al"": 0.028529000000000002, ""U"": 0.971471}",-0.175034,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_115
"{""U"": 0.928221, ""V"": 0.07177900000000001}",0.288712,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_178
"{""Fe"": 0.018906, ""U"": 0.981094}",-0.023860,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_U98_112
"{""Si"": 0.014501, ""Ti"": 0.061901, ""U"": 0.923598}",0.110742,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti6_U92_136
"{""Cr"": 0.05511, ""U"": 0.94489}",0.477896,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr6_U94_32
"{""Fe"": 0.031173999999999997, ""Nb"": 0.140527, ""U"": 0.828299}",0.296535,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_Nb14_U83_226
"{""Nb"": 0.062229, ""U"": 0.937771}",0.272670,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb6_U94_62
"{""Cr"": 0.066121, ""Mn"": 0.012111, ""U"": 0.921768}",0.313012,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Mn1_U92_24
"{""U"": 0.9234910000000001, ""Zr"": 0.076509}",0.317091,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U92_Zr8_167
"{""Cr"": 0.039715, ""U"": 0.960285}",0.488883,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr4_U96_283
"{""Ti"": 0.11486, ""U"": 0.88514}",0.111810,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti11_U89_378
"{""Al"": 0.019531, ""U"": 0.980469}",-0.177381,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_94
"{""Mo"": 0.073671, ""Si"": 0.013565, ""U"": 0.912764}",0.200534,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo7_Si1_U91_288
"{""Cr"": 0.064499, ""U"": 0.935501}",0.471433,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr6_U94_280
"{""Nb"": 0.109968, ""Ta"": 0.092826, ""U"": 0.797206}",0.288290,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb11_Ta9_U80_60
"{""Ta"": 0.045533, ""Ti"": 0.113498, ""U"": 0.840969}",0.115001,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ta5_Ti11_U84_120
"{""Al"": 0.010089, ""U"": 0.989911}",-0.177673,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_62
"{""Fe"": 0.045238999999999994, ""Ta"": 0.03741, ""U"": 0.917351}",-0.046500,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe5_Ta4_U92_159
"{""Mo"": 0.11855800000000001, ""U"": 0.881442}",0.200153,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_370
"{""Ti"": 0.11286, ""U"": 0.88714}",0.111674,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti11_U89_229
"{""Cr"": 0.059512999999999996, ""U"": 0.889342, ""V"": 0.051145}",0.451113,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr6_U89_V5_41
"{""Al"": 0.011615999999999998, ""U"": 0.988384}",-0.176918,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_104
"{""Ti"": 0.107958, ""U"": 0.892042}",0.111361,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti11_U89_197
"{""Ta"": 0.041661, ""U"": 0.910174, ""Zr"": 0.048165}",0.333793,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ta4_U91_Zr5_281
"{""Mo"": 0.123068, ""U"": 0.876932}",0.200181,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_318
"{""Al"": 0.020236, ""U"": 0.979764}",-0.177163,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_146
"{""U"": 0.97086, ""Zr"": 0.029140000000000003}",0.325126,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U97_Zr3_181
"{""Mn"": 0.046415, ""U"": 0.953585}",-0.048438,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_U95_176
"{""Ti"": 0.059922, ""U"": 0.940078}",0.108572,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti6_U94_235
"{""Ti"": 0.046334, ""U"": 0.953666}",0.107851,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti5_U95_126
"{""Ti"": 0.031655, ""U"": 0.968345}",0.107089,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti3_U97_253
"{""Cr"": 0.072012, ""U"": 0.927988}",0.466583,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_U93_129
"{""Mo"": 0.066474, ""U"": 0.933526}",0.201500,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo7_U93_90
"{""Fe"": 0.026359999999999998, ""U"": 0.97364}",-0.028731,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_U97_112
"{""Ti"": 0.054499000000000006, ""U"": 0.945501}",0.108266,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti5_U95_324
"{""Al"": 0.00724, ""U"": 0.99276}",-0.180660,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_327
"{""Al"": 0.030855, ""U"": 0.969145}",-0.169210,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_235
"{""Mo"": 26.2, ""Ti"": 8.8, ""U"": 65}",0.218855,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo2620_Ti880_U6500_370
"{""Ru"": 0.043256, ""U"": 0.956744}",-1.827381,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru4_U96_224
"{""Nb"": 0.054229, ""U"": 0.945771}",0.271683,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb5_U95_92
"{""Cr"": 0.094197, ""Nb"": 0.083785, ""U"": 0.822018}",0.440663,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr9_Nb8_U82_252
"{""Ta"": 0.041661, ""U"": 0.904174, ""Zr"": 0.054165}",0.332813,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ta4_U90_Zr5_296
"{""U"": 0.873266, ""Zr"": 0.12673399999999999}",0.308866,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U87_Zr13_87
"{""U"": 0.929914, ""V"": 0.070086}",0.325326,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_80
"{""U"": 0.945259, ""Zr"": 0.054741000000000005}",0.320792,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U95_Zr5_117
"{""Si"": 0.013883, ""U"": 0.986117}",-0.720892,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_107
"{""Cr"": 0.046637, ""U"": 0.953363}",0.320951,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr5_U95_107
"{""Ti"": 0.102592, ""U"": 0.897408}",0.111048,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti10_U90_1
"{""Nb"": 10.0, ""U"": 60, ""Zr"": 30.0}",0.307805,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb1000_U6000_Zr3000_338
"{""Mn"": 0.037531, ""Nb"": 0.055469000000000004, ""U"": 0.907}",0.280997,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_Nb6_U91_368
"{""Mo"": 0.057284, ""U"": 0.942716}",0.202038,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_U94_351
"{""Al"": 0.02997, ""U"": 0.909467, ""Zr"": 0.060563}",0.333398,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U91_Zr6_296
"{""Fe"": 0.036174, ""Nb"": 0.140527, ""U"": 0.823299}",0.299481,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_Nb14_U82_184
"{""U"": 0.932886, ""Zr"": 0.06711400000000001}",0.318738,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_Zr7_121
"{""Si"": 0.01797, ""U"": 0.98203}",-0.720225,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si2_U98_233
"{""U"": 0.933011, ""V"": 0.06698899999999999}",0.289181,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_183
"{""Cr"": 0.068012, ""U"": 0.931988}",0.469106,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_U93_228
"{""Al"": 0.023110000000000002, ""U"": 0.97689}",-0.176489,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_U98_211
"{""Al"": 0.025086, ""U"": 0.974914}",-0.175932,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_392
"{""Nb"": 0.053277, ""U"": 0.946723}",0.271894,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb5_U95_162
"{""Mn"": 0.057545, ""U"": 0.942455}",-0.053819,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn6_U94_75
"{""Mn"": 0.050598000000000004, ""Mo"": 0.086251, ""U"": 0.863151}",0.200609,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_Mo9_U86_77
"{""Mo"": 0.149, ""U"": 0.851}",0.200718,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo15_U85_333
"{""Nb"": 0.043000000000000003, ""U"": 0.957}",0.270969,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb4_U96_199
"{""U"": 0.932692, ""V"": 0.06730799999999999}",0.325475,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U93_V7_148
"{""Mo"": 0.05, ""U"": 0.883, ""Zr"": 0.067}",0.347963,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo5_U88_Zr7_97
"{""Fe"": 0.039022999999999995, ""Ti"": 0.04849, ""U"": 0.912487}",0.118627,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_Ti5_U91_191
"{""U"": 0.895074, ""Zr"": 0.104926}",0.312486,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U90_Zr10_346
"{""Fe"": 0.018359999999999998, ""U"": 0.98164}",-0.023397,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_U98_227
"{""Mo"": 0.122687, ""U"": 0.877313}",0.200174,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_97
"{""U"": 0.75, ""Zr"": 0.25}",0.289634,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U75_Zr25_375
"{""Nb"": 0.071496, ""U"": 0.928504}",0.273534,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb7_U93_87
"{""Cr"": 0.067617, ""Mn"": 0.025834, ""U"": 0.906549}",0.459263,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Mn3_U91_75
"{""Mo"": 0.140212, ""U"": 0.859788}",0.200460,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo14_U86_74
"{""U"": 0.938113, ""V"": 0.061887000000000005}",0.327244,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U94_V6_9
"{""Fe"": 0.02986, ""Mo"": 0.149364, ""U"": 0.820776}",0.204296,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe3_Mo15_U82_163
"{""Al"": 0.01178, ""U"": 0.98822}",-0.176918,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al1_U99_33
"{""Cr"": 0.07612100000000001, ""Mn"": 0.012111, ""U"": 0.911768}",0.459263,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr8_Mn1_U91_353
"{""U"": 0.863999, ""Zr"": 0.136001}",0.307431,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U86_Zr14_97
"{""Cr"": 0.042163, ""Ru"": 0.070175, ""U"": 0.887662}",-1.833688,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr4_Ru7_U89_65
"{""Nb"": 0.083923, ""U"": 0.916077}",0.274738,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb8_U92_255
"{""Al"": 0.02997, ""U"": 0.899467, ""Zr"": 0.070563}",0.331650,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U90_Zr7_391
"{""Mo"": 0.081, ""U"": 0.849, ""Zr"": 0.07}",0.201868,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo8_U85_Zr7_28
"{""Ta"": 0.029201, ""U"": 0.9331119999999999, ""V"": 0.037687}",0.330755,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ta3_U93_V4_380
"{""Mo"": 0.116684, ""U"": 0.883316}",0.200147,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo12_U88_51
"{""Fe"": 0.021444, ""Mn"": 0.030106, ""U"": 0.94845}",-0.055731,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe2_Mn3_U95_354
"{""Si"": 0.013812999999999999, ""U"": 0.986187}",-0.720932,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_19
"{""Ti"": 0.036463999999999996, ""U"": 0.963536}",0.107347,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti4_U96_95
"{""U"": 0.955664, ""Zr"": 0.044336}",0.322479,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U96_Zr4_346
"{""Mn"": 0.024117, ""Ru"": 0.034866, ""U"": 0.941018}",-1.829062,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn2_Ru3_U94_347
"{""U"": 0.95438, ""Zr"": 0.04562}",0.322296,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U95_Zr5_252
"{""Mo"": 0.105634, ""U"": 0.894366}",0.200208,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo11_U89_256
"{""U"": 0.901, ""Zr"": 0.099}",0.313397,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U90_Zr10_214
"{""Cr"": 0.067216, ""Ti"": 0.105546, ""U"": 0.827238}",0.134777,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Cr7_Ti11_U83_192
"{""Mo"": 0.070966, ""Ru"": 0.07992300000000001, ""U"": 0.849111}",-1.833742,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo7_Ru8_U85_27
"{""U"": 80, ""Zr"": 20.0}",0.297260,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-U8000_Zr2000_346
"{""Al"": 0.021698, ""Ti"": 0.117102, ""U"": 0.8612}",0.114443,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al2_Ti12_U86_160
"{""Ru"": 0.048323, ""U"": 0.951677}",-1.828021,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ru5_U95_73
"{""Si"": 0.012839, ""U"": 0.987161}",-0.721075,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_67
"{""Fe"": 0.041718, ""Ti"": 0.105923, ""U"": 0.852359}",0.124545,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe4_Ti11_U85_37
"{""Nb"": 0.11562, ""U"": 0.8843799999999999}",0.277935,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb12_U88_38
"{""Fe"": 0.050134, ""Si"": 0.012226999999999998, ""U"": 0.937639}",-0.048017,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Fe5_Si1_U94_351
"{""Mo"": 24.8, ""Ti"": 20.2, ""U"": 55}",0.228365,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo2480_Ti2020_U5500_365
"{""Mo"": 0.10300000000000001, ""U"": 0.897}",0.200249,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo10_U90_364
"{""Ti"": 0.08022, ""U"": 0.91978}",0.109688,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Ti8_U92_300
"{""Si"": 0.014501, ""Ti"": 0.055901, ""U"": 0.929598}",0.110402,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_Ti6_U93_220
"{""Mn"": 0.048894, ""U"": 0.866197, ""Zr"": 0.084909}",0.348977,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn5_U87_Zr8_217
"{""Mo"": 12.2, ""Ti"": 22.8, ""U"": 65}",0.148193,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo1220_Ti2280_U6500_368
"{""Si"": 0.013642000000000001, ""U"": 0.986358}",-0.720932,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Si1_U99_384
"{""Nb"": 0.05075, ""U"": 0.94925}",0.271656,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb5_U95_238
"{""Nb"": 29.2, ""U"": 55, ""Zr"": 15.7}",0.287677,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb2920_U5500_Zr1570_348
"{""Mo"": 0.060269, ""U"": 0.939731}",0.201847,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_U94_148
"{""Al"": 0.026101, ""U"": 0.973899}",-0.170387,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Al3_U97_218
"{""Mn"": 0.04138, ""U"": 0.95862}",-0.050206,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mn4_U96_62
"{""Mo"": 0.058672999999999996, ""Ru"": 0.037384, ""U"": 0.9039429999999999}",0.200187,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Mo6_Ru4_U90_44
"{""Nb"": 0.097, ""U"": 0.903}",0.275983,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb10_U90_100
"{""Nb"": 0.07349699999999999, ""U"": 0.926503}",0.273718,,NFM-1540-PathB-Star-xingyi,PBE,DFT-SR-PBE-BCC-Nb7_U93_190
