composition,element_system,source,phase,functional,mo_equivalent,lattice_distortion,allen_chi_diff,vec,cluster_I,cluster_II,cluster_III,cluster_IV,label
"{""U"": 0.935967, ""V"": 0.064033}",U-V,experimental,III,,0.15495986,0.034839338279851716,0.027278057999999997,5.935967000000001,0.0,0.0,1.0,0.0,H
"{""Ni"": 0.045000000000000005, ""U"": 0.955}",Ni-U,experimental,II,,0.0,0.04292010857479895,0.030285000000000006,6.18,0.0,0.0,1.0,0.0,H
"{""Mo"": 0.141014, ""U"": 0.858986}",Mo-U,experimental,I,,0.141014,0.03851891586344132,0.092928226,6.000000000000001,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.027012, ""U"": 0.972988}",Cr-U,experimental,I,,0.0,0.029239925359818498,0.011669183999999999,6.0,0.0,0.0,1.0,0.0,H
"{""U"": 0.96686, ""Zr"": 0.03314}",U-Zr,experimental,II,,0.03645400000000001,0.004585899780147748,0.0057332200000000015,5.93372,0.0,1.0,0.0,0.0,M
"{""U"": 0.937963, ""Zr"": 0.062037}",U-Zr,experimental,II,,0.0682407,0.006175375357418611,0.010732401000000003,5.875926,0.0,1.0,0.0,0.0,M
"{""Mn"": 0.025348, ""U"": 0.908088, ""Zr"": 0.066565}",Mn-U-Zr,experimental,III,,0.07322142677857324,0.03026883377114193,0.02472202827797173,5.892218107781893,0.0,0.72421746651725,0.27578253348275,0.0,H
"{""U"": 0.917331, ""Zr"": 0.082669}",U-Zr,experimental,II,,0.09093590000000001,0.0070461220679064775,0.014301737000000005,5.834662000000001,0.0,1.0,0.0,0.0,M
"{""U"": 0.979169, ""V"": 0.020831}",U-V,experimental,III,,0.050411019999999994,0.020200386381944276,0.008874005999999999,5.979169000000001,0.0,0.0,1.0,0.0,H
"{""Mn"": 0.023382999999999998, ""U"": 0.976617}",Mn-U,experimental,III,,0.0,0.02821483908309566,0.012182543000000002,6.023383,0.0,0.0,1.0,0.0,H
"{""Mo"": 0.058766000000000006, ""U"": 0.941234}",Mo-U,experimental,I,,0.058766000000000006,0.02579445472829185,0.03872679400000001,6.0,1.0,0.0,0.0,0.0,H
"{""Mn"": 0.049415, ""U"": 0.950585}",Mn-U,experimental,III,,0.0,0.04066363484604109,0.025745215000000005,6.049415,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.050134, ""Si"": 0.016227, ""U"": 0.933639}",Fe-Si-U,experimental,III,,0.0,0.05249378786191233,0.041928771999999996,6.067814,0.0,0.0,0.7554738475912056,0.24452615240879427,H
"{""Nb"": 0.07300000000000001, ""U"": 0.927}",Nb-U,experimental,I,,0.08249000000000001,0.021810723788790877,0.031171000000000008,5.9270000000000005,1.0,0.0,0.0,0.0,H
"{""Nb"": 0.049277, ""U"": 0.950723}",Nb-U,experimental,I,,0.05568301,0.018111522095837076,0.021041279000000003,5.950723,1.0,0.0,0.0,0.0,H
"{""Mo"": 0.102634, ""U"": 0.897366}",Mo-U,experimental,I,,0.102634,0.03344563756363105,0.067635806,6.0,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.05075, ""U"": 0.94925}",Cr-U,experimental,I,,0.0,0.03975720673499436,0.021924,6.0,0.0,0.0,1.0,0.0,H
"{""Ta"": 0.026711, ""U"": 0.973289}",Ta-U,experimental,I,,0.0,0.01346643117997541,0.006570906,5.973289,0.0,1.0,0.0,0.0,H
"{""Fe"": 0.016052999999999998, ""U"": 0.983947}",Fe-U,experimental,III,,0.0,0.024243951308007525,0.009840489,6.032106,0.0,0.0,1.0,0.0,H
"{""U"": 0.875382, ""Zr"": 0.124618}",U-Zr,experimental,II,,0.13707980000000003,0.008441878248354084,0.021558914000000005,5.750764,0.0,1.0,0.0,0.0,M
"{""U"": 0.982914, ""V"": 0.017086}",U-V,experimental,III,,0.04134812,0.018319928195257244,0.007278635999999999,5.982913999999999,0.0,0.0,1.0,0.0,H
"{""Cr"": 0.028152, ""Mo"": 0.09846, ""U"": 0.873388}",Cr-Mo-U,experimental,I,,0.09846,0.04343001863166561,0.07704680400000001,6.0,0.7776514074495309,0.0,0.22234859255046915,0.0,H
"{""Fe"": 0.02, ""U"": 0.98}",Fe-U,experimental,III,,0.0,0.02702702702702705,0.01226,6.04,0.0,0.0,1.0,0.0,H
"{""Cr"": 0.08328, ""Nb"": 0.135724, ""U"": 0.780996}",Cr-Nb-U,experimental,I,,0.15336812,0.05564567280933119,0.09393110800000001,5.864276,0.6197329729137367,0.0,0.38026702708626325,0.0,H
"{""Ta"": 0.048945, ""U"": 0.951055}",Ta-U,experimental,I,,0.0,0.018053056357379464,0.012040470000000001,5.951054999999999,0.0,1.0,0.0,0.0,H
"{""Mo"": 0.146428, ""U"": 0.853572}",Mo-U,experimental,I,,0.146428,0.03915095380254164,0.09649605200000001,6.0,1.0,0.0,0.0,0.0,H
"{""Fe"": 0.02031, ""Ti"": 0.032805, ""U"": 0.946885}",Fe-Ti-U,experimental,III,,0.061017300000000003,0.02891967225305118,0.022717994999999998,5.97501,0.0,0.6176221406382377,0.3823778593617622,0.0,H
"{""Al"": 0.026112, ""U"": 0.973888}",Al-U,experimental,IV,,0.0,0.013318011460027961,0.010105344,5.921664,0.0,0.0,0.0,1.0,H
"{""Mn"": 0.025896, ""U"": 0.974104}",Mn-U,experimental,III,,0.0,0.029667991659033287,0.013491816000000002,6.0258959999999995,0.0,0.0,1.0,0.0,H
"{""Ta"": 0.045533, ""Ti"": 0.112498, ""U"": 0.841969}",Ta-Ti-U,experimental,I,,0.20924628,0.024435296496717086,0.046412992,5.729471,0.0,1.0,0.0,0.0,M
"{""Al"": 0.006457, ""Nb"": 0.049859, ""U"": 0.943685}",Al-Nb-U,experimental,IV,,0.05634061365938634,0.01930148329279349,0.023788628211371794,5.930770069229932,0.8853434192769373,0.0,0.0,0.11465658072306271,H
"{""U"": 0.964, ""V"": 0.036000000000000004}",U-V,experimental,III,,0.08712,0.026405740166825484,0.015335999999999999,5.9639999999999995,0.0,0.0,1.0,0.0,H
"{""Al"": 0.016907, ""Cr"": 0.073274, ""U"": 0.9098189999999999}",Al-Cr-U,experimental,IV,,0.0,0.04830552688531038,0.038197377000000005,5.949279000000001,0.0,0.0,0.8125214845699205,0.18747851543007948,H
"{""Fe"": 0.041718, ""Ti"": 0.104923, ""U"": 0.853359}",Fe-Ti-U,experimental,III,,0.19515678,0.04174484839242557,0.05841403299999999,5.873589999999999,0.0,0.7155093050374726,0.28449069496252755,0.0,H
"{""Mn"": 0.052598, ""Mo"": 0.086251, ""U"": 0.861151}",Mn-Mo-U,experimental,III,,0.086251,0.0507137019439313,0.084242967,6.052598,0.621185604505614,0.0,0.378814395494386,0.0,H
"{""Al"": 0.016047, ""U"": 0.983953}",Al-U,experimental,IV,,0.0,0.010485375943534913,0.006210189,5.951859,0.0,0.0,0.0,1.0,H
"{""Fe"": 0.044476999999999996, ""U"": 0.955523}",Fe-U,experimental,III,,0.0,0.03998670208117294,0.027264400999999997,6.088954,0.0,0.0,1.0,0.0,H
"{""U"": 0.862786, ""Zr"": 0.137214}",U-Zr,experimental,II,,0.15093540000000003,0.008791456876602145,0.023738022000000008,5.7255720000000005,0.0,1.0,0.0,0.0,M
"{""U"": 0.954359, ""V"": 0.045641}",U-V,experimental,III,,0.11045122,0.02962347064874259,0.019443066,5.954358999999999,0.0,0.0,1.0,0.0,H
"{""Ti"": 0.046928000000000004, ""U"": 0.953072}",Ti-U,experimental,II,,0.08728608000000002,0.012234160846832952,0.014688463999999998,5.906144,0.0,1.0,0.0,0.0,M
"{""Al"": 0.026698, ""Ti"": 0.117102, ""U"": 0.8562000000000001}",Al-Ti-U,experimental,IV,,0.21780972,0.022439146698701656,0.046985052,5.685702,0.0,0.8143393602225314,0.0,0.18566063977746872,M
"{""Nb"": 0.062528, ""Si"": 0.005655, ""U"": 0.931817}",Nb-Si-U,experimental,I,,0.07065663999999999,0.027454139771192643,0.030601406000000005,5.926162,0.9170614376017483,0.0,0.0,0.08293856239825177,H
"{""Ti"": 0.034473, ""U"": 0.965527}",Ti-U,experimental,II,,0.06411978,0.010546400479794433,0.010790048999999998,5.9310540000000005,0.0,1.0,0.0,0.0,M
"{""Al"": 0.02111, ""U"": 0.97889}",Al-U,experimental,IV,,0.0,0.01200036583163757,0.008169570000000001,5.93667,0.0,0.0,0.0,1.0,H
"{""Ti"": 0.080266, ""U"": 0.919734}",Ti-U,experimental,II,,0.14929476000000003,0.015748188839598953,0.025123257999999996,5.839468,0.0,1.0,0.0,0.0,M
"{""Fe"": 0.042576, ""U"": 0.957424}",Fe-U,experimental,III,,0.0,0.039147293924788135,0.026099088000000003,6.085152000000001,0.0,0.0,1.0,0.0,H
"{""Al"": 0.019607, ""Mn"": 0.048404, ""U"": 0.931989}",Al-Mn-U,experimental,IV,,0.0,0.041623324482442416,0.032806393,5.9895830000000005,0.0,0.0,0.7117084001117466,0.28829159988825337,H
"{""Cr"": 0.03826, ""Ru"": 0.060729, ""U"": 0.901011}",Cr-Ru-U,experimental,I,,0.0,0.04766345500409097,0.06705484799999999,6.1214580000000005,0.613492408247381,0.0,0.386507591752619,0.0,H
"{""Cr"": 0.06128599999999999, ""U"": 0.938714}",Cr-U,experimental,I,,0.0,0.04352957729284285,0.026475551999999992,6.0,0.0,0.0,1.0,0.0,H
"{""Ru"": 0.024261, ""Ti"": 0.054007, ""U"": 0.921732}",Ru-Ti-U,experimental,II,,0.10045302,0.025054149369530224,0.037089343,5.940508,0.3099734246435325,0.6900265753564675,0.0,0.0,M
"{""Al"": 0.026771, ""Mn"": 0.050493, ""U"": 0.922736}",Al-Mn-U,experimental,IV,,0.0,0.04287587026743167,0.03666723000000001,5.97018,0.0,0.0,0.6535126320149099,0.34648736798509006,H
"{""Si"": 0.019278, ""U"": 0.980722}",Si-U,experimental,IV,,0.0,0.034541571938543014,0.013301819999999999,5.961443999999999,0.0,0.0,0.0,1.0,H
"{""Ti"": 0.031498, ""U"": 0.931922, ""Zr"": 0.03658}",Ti-U-Zr,experimental,II,,0.09882428,0.01132874668701964,0.016187214,5.863844,0.0,1.0,0.0,0.0,M
"{""Si"": 0.013833000000000002, ""U"": 0.986167}",Si-U,experimental,IV,,0.0,0.029300695681117338,0.009544770000000001,5.972334,0.0,0.0,0.0,1.0,H
"{""Si"": 0.014361, ""U"": 0.985639}",Si-U,experimental,IV,,0.0,0.0298506175998056,0.009909089999999999,5.971278000000001,0.0,0.0,0.0,1.0,H
"{""Fe"": 0.037738, ""Ta"": 0.066743, ""U"": 0.895519}",Fe-Ta-U,experimental,III,,0.0,0.041702501577923795,0.039552172,6.008732999999999,0.0,0.6388051416046937,0.36119485839530635,0.0,H
"{""Mo"": 0.146301, ""U"": 0.853699}",Mo-U,experimental,I,,0.146301,0.03913633268346022,0.09641235899999999,6.0,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.061338, ""U"": 0.938662}",Cr-U,experimental,I,,0.0,0.043547245159020684,0.026498015999999996,6.0,0.0,0.0,1.0,0.0,H
"{""Al"": 0.017832999999999998, ""Cr"": 0.096234, ""U"": 0.885933}",Al-Cr-U,experimental,IV,,0.0,0.05461734137187434,0.048474459,5.946501,0.0,0.0,0.8436620582640028,0.15633794173599724,H
"{""Mo"": 0.141014, ""U"": 0.858986}",Mo-U,experimental,I,,0.141014,0.03851891586344132,0.092928226,6.000000000000001,1.0,0.0,0.0,0.0,H
"{""Mo"": 0.05, ""U"": 0.88, ""Zr"": 0.07}",Mo-U-Zr,experimental,II,,0.127,0.02512061639861935,0.04506,5.86,0.41666666666666663,0.5833333333333334,0.0,0.0,M
"{""Nb"": 0.031, ""U"": 0.969}",Nb-U,experimental,I,,0.03503,0.014480543695678045,0.013237,5.969,1.0,0.0,0.0,0.0,H
"{""U"": 0.946235, ""V"": 0.053765}",U-V,experimental,III,,0.13011129999999999,0.0320518340459286,0.022903889999999996,5.946235,0.0,0.0,1.0,0.0,H
"{""Ta"": 0.088272, ""U"": 0.911728}",Ta-U,experimental,I,,0.0,0.023816029616060556,0.021714912,5.911728,0.0,1.0,0.0,0.0,H
"{""Mn"": 0.061954, ""Nb"": 0.131199, ""U"": 0.806847}",Mn-Nb-U,experimental,III,,0.14825487,0.05163783550753647,0.08830000700000001,5.930755,0.6792490926881798,0.0,0.32075090731182015,0.0,H
"{""Mo"": 0.050037, ""U"": 0.949963}",Mo-U,experimental,I,,0.050037,0.02388899497096477,0.032974383,6.0,1.0,0.0,0.0,0.0,H
"{""Nb"": 0.12223599999999998, ""Si"": 0.00712, ""U"": 0.870644}",Nb-Si-U,experimental,I,,0.13812667999999997,0.03433232937668868,0.057107572,5.863524,0.9449581001267819,0.0,0.0,0.05504189987321811,H
"{""Ta"": 0.028534, ""U"": 0.971466}",Ta-U,experimental,I,,0.0,0.01390745920725843,0.007019364,5.971466,0.0,1.0,0.0,0.0,H
"{""Ru"": 0.016261, ""Ti"": 0.054007, ""U"": 0.929732}",Ru-Ti-U,experimental,II,,0.10045302,0.02188768569455047,0.030433342999999995,5.924508,0.23141401491432803,0.768585985085672,0.0,0.0,M
"{""Nb"": 0.07149699999999999, ""U"": 0.928503}",Nb-U,experimental,I,,0.08079160999999999,0.021599794592392214,0.030529219,5.928502999999999,1.0,0.0,0.0,0.0,H
"{""Fe"": 0.029933, ""U"": 0.970067}",Fe-U,experimental,III,,0.0,0.032959439458664586,0.018348929,6.0598659999999995,0.0,0.0,1.0,0.0,H
"{""Ru"": 0.072713, ""U"": 0.927287}",Ru-U,experimental,II,,0.0,0.03699879831530792,0.060497215999999986,6.1454260000000005,1.0,0.0,0.0,0.0,M
"{""U"": 0.853052, ""Zr"": 0.146948}",U-Zr,experimental,II,,0.1616428,0.009044231778868995,0.025422004000000005,5.706104000000001,0.0,1.0,0.0,0.0,M
"{""Cr"": 0.096428, ""Ti"": 0.074222, ""U"": 0.82935}",Cr-Ti-U,experimental,I,,0.13805292,0.054920421884364745,0.064888382,5.851556,0.0,0.43493700556694986,0.5650629944330501,0.0,H
"{""U"": 0.867266, ""Zr"": 0.132734}",U-Zr,experimental,II,,0.1460074,0.008670158974027361,0.022962982000000003,5.734532,0.0,1.0,0.0,0.0,M
"{""Ti"": 0.036899, ""U"": 0.915298, ""V"": 0.047803}",Ti-U-V,experimental,II,,0.18431540000000002,0.03182353686379846,0.031913464999999995,5.878399,0.0,0.435633160964322,0.564366839035678,0.0,M
"{""U"": 0.969611, ""Zr"": 0.030388999999999996}",U-Zr,experimental,II,,0.033427899999999997,0.004397988523491196,0.005257297,5.939222,0.0,1.0,0.0,0.0,M
"{""Ta"": 0.049972, ""U"": 0.950028}",Ta-U,experimental,I,,0.0,0.018233189490699825,0.012293112,5.950028,0.0,1.0,0.0,0.0,H
"{""Al"": 0.027833, ""Cr"": 0.096234, ""U"": 0.875933}",Al-Cr-U,experimental,IV,,0.0,0.05501932068374074,0.052344458999999996,5.916501,0.0,0.0,0.7756615377175237,0.22433846228247642,H
"{""Mn"": 0.014364, ""U"": 0.985636}",Mn-U,experimental,III,,0.0,0.022178419514709075,0.007483644000000002,6.014364,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.054019000000000005, ""U"": 0.945981}",Fe-U,experimental,III,,0.0,0.043928492381431504,0.033113647,6.1080380000000005,0.0,0.0,1.0,0.0,H
"{""Cr"": 0.033628000000000005, ""Ru"": 0.034692, ""U"": 0.93168}",Cr-Ru-U,experimental,I,,0.0,0.04111730740538025,0.04339104,6.0693839999999994,0.5077868852459017,0.0,0.4922131147540984,0.0,H
"{""Nb"": 0.097105, ""U"": 0.902895}",Nb-U,experimental,I,,0.10972864999999998,0.024876359121208072,0.041463835000000004,5.902895,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.071988, ""U"": 0.928012}",Cr-U,experimental,I,,0.0,0.0469989696118942,0.031098815999999994,6.0,0.0,0.0,1.0,0.0,H
"{""U"": 0.960354, ""V"": 0.039646}",U-V,experimental,III,,0.09594332,0.027672503057640754,0.016889196,5.960354,0.0,0.0,1.0,0.0,H
"{""Si"": 0.017278, ""U"": 0.982722}",Si-U,experimental,IV,,0.0,0.032717648410253236,0.01192182,5.965444,0.0,0.0,0.0,1.0,H
"{""Ru"": 0.034739, ""U"": 0.965261}",Ru-U,experimental,II,,0.0,0.025951471905850277,0.028902847999999995,6.069478,1.0,0.0,0.0,0.0,H
"{""Al"": 0.006868, ""U"": 0.993132}",Al-U,experimental,IV,,0.0,0.006886301247425933,0.002657916,5.9793959999999995,0.0,0.0,0.0,1.0,H
"{""Ta"": 0.0696, ""U"": 0.9304}",Ta-U,experimental,I,,0.0,0.021329686180902217,0.017121599999999997,5.9304,0.0,1.0,0.0,0.0,H
"{""Ru"": 0.064083, ""U"": 0.935917}",Ru-U,experimental,II,,0.0,0.034852254774682616,0.053317055999999995,6.128166,1.0,0.0,0.0,0.0,H
"{""Fe"": 0.02031, ""Ti"": 0.037805, ""U"": 0.941885}",Fe-Ti-U,experimental,III,,0.0703173,0.02915834196384299,0.024282994999999998,5.9650099999999995,0.0,0.6505205196592962,0.3494794803407038,0.0,H
"{""Cr"": 0.057688, ""U"": 0.942312}",Cr-U,experimental,I,,0.0,0.0422857243107428,0.024921216,6.0,0.0,0.0,1.0,0.0,H
"{""Mn"": 0.020383, ""U"": 0.979617}",Mn-U,experimental,III,,0.0,0.026368434099339012,0.010619543000000002,6.020382999999999,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.01979, ""U"": 0.98021}",Fe-U,experimental,III,,0.0,0.026886551061008863,0.01213127,6.03958,0.0,0.0,1.0,0.0,H
"{""U"": 0.931914, ""V"": 0.068086}",U-V,experimental,III,,0.16476812,0.03586782976662978,0.029004635999999993,5.931914,0.0,0.0,1.0,0.0,H
"{""U"": 0.874382, ""Zr"": 0.125618}",U-Zr,experimental,II,,0.13817980000000002,0.008470622572624755,0.021731914000000005,5.748764,0.0,1.0,0.0,0.0,M
"{""Ru"": 0.030734, ""U"": 0.969266}",Ru-U,experimental,II,,0.0,0.024446436459448356,0.025570687999999998,6.061468,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.08028, ""Nb"": 0.135724, ""U"": 0.7839959999999999}",Cr-Nb-U,experimental,I,,0.15336812000000002,0.05496078001942119,0.09263510800000002,5.864276,0.6283402159219273,0.0,0.3716597840780726,0.0,H
"{""Si"": 0.013743000000000002, ""U"": 0.986257}",Si-U,experimental,IV,,0.0,0.029205895549440298,0.00948267,5.972514,0.0,0.0,0.0,1.0,H
"{""U"": 0.929692, ""V"": 0.070308}",U-V,experimental,III,,0.17014536,0.036416451235745946,0.029951207999999993,5.929691999999999,0.0,0.0,1.0,0.0,H
"{""Ta"": 0.030249, ""U"": 0.969751}",Ta-U,experimental,I,,0.0,0.01430871102583857,0.0074412540000000004,5.9697510000000005,0.0,1.0,0.0,0.0,H
"{""Cr"": 0.047511000000000005, ""U"": 0.952489}",Cr-U,experimental,I,,0.0,0.0385105641530821,0.020524752,6.0,0.0,0.0,1.0,0.0,H
"{""Mo"": 0.145, ""U"": 0.855}",Mo-U,experimental,I,,0.145,0.03898599174843396,0.095555,6.0,1.0,0.0,0.0,0.0,H
"{""Mn"": 0.054415, ""U"": 0.945585}",Mn-U,experimental,III,,0.0,0.04259891397969999,0.028350215000000005,6.0544150000000005,0.0,0.0,1.0,0.0,H
"{""Ni"": 0.047, ""U"": 0.953}",Ni-U,experimental,II,,0.0,0.043835717339619426,0.031631,6.188,0.0,0.0,1.0,0.0,H
"{""Ru"": 0.017892, ""U"": 0.982108}",Ru-U,experimental,II,,0.0,0.01874150061938618,0.014886143999999999,6.035784,1.0,0.0,0.0,0.0,H
"{""Ti"": 0.08122, ""U"": 0.91878}",Ti-U,experimental,II,,0.15106920000000001,0.015834157356805663,0.025421859999999994,5.837560000000001,0.0,1.0,0.0,0.0,M
"{""Mo"": 0.029883, ""U"": 0.970117}",Mo-U,experimental,I,,0.029883,0.018615086446956437,0.019692897,6.0,1.0,0.0,0.0,0.0,H
"{""Ta"": 0.033343, ""U"": 0.966657}",Ta-U,experimental,I,,0.0,0.015002571087405306,0.008202378,5.966657,0.0,1.0,0.0,0.0,H
"{""Al"": 0.024818, ""Cr"": 0.053685, ""U"": 0.921497}",Al-Cr-U,experimental,IV,,0.0,0.04250777063737194,0.03279648599999999,5.925546,0.0,0.0,0.6838592155713795,0.3161407844286206,H
"{""U"": 0.963, ""V"": 0.037}",U-V,experimental,III,,0.08954,0.026759879120662904,0.015761999999999998,5.962999999999999,0.0,0.0,1.0,0.0,H
"{""Cr"": 0.059257, ""U"": 0.940743}",Cr-U,experimental,I,,0.0,0.042833405154160654,0.025599023999999995,6.0,0.0,0.0,1.0,0.0,H
"{""Fe"": 0.029894, ""U"": 0.970106}",Fe-U,experimental,III,,0.0,0.032938374505773874,0.018325022,6.059788,0.0,0.0,1.0,0.0,H
"{""Mo"": 0.02, ""U"": 0.98}",Mo-U,experimental,I,,0.02,0.015289734035718903,0.01318,6.0,1.0,0.0,0.0,0.0,H
"{""Fe"": 0.042731, ""U"": 0.957269}",Fe-U,experimental,III,,0.0,0.039216491881933296,0.026194103,6.085462,0.0,0.0,1.0,0.0,H
"{""Al"": 0.029525, ""Ta"": 0.063923, ""U"": 0.906552}",Al-Ta-U,experimental,IV,,0.0,0.02444529894166914,0.027151232999999997,5.847502,0.0,0.6840488828011301,0.0,0.31595111719887,H
"{""U"": 0.96486, ""Zr"": 0.035140000000000005}",U-Zr,experimental,II,,0.03865400000000001,0.004717123952754608,0.006079220000000002,5.9297200000000005,0.0,1.0,0.0,0.0,M
"{""Ta"": 0.052879, ""U"": 0.947121}",Ta-U,experimental,I,,0.0,0.01873186795126508,0.013008234,5.947121,0.0,1.0,0.0,0.0,H
"{""U"": 0.876477, ""Zr"": 0.123523}",U-Zr,experimental,II,,0.1358753,0.008410198033296915,0.021369479000000004,5.752954,0.0,1.0,0.0,0.0,M
"{""Ru"": 0.027473, ""U"": 0.972527}",Ru-U,experimental,II,,0.0,0.023141305551591898,0.022857535999999998,6.054946,1.0,0.0,0.0,0.0,H
"{""Mo"": 0.12506799999999998, ""U"": 0.874932}",Mo-U,experimental,I,,0.12506799999999998,0.03654638045712466,0.082419812,6.0,1.0,0.0,0.0,0.0,H
"{""Cr"": 0.023, ""U"": 0.977}",Cr-U,experimental,I,,0.0,0.027017253666563767,0.009935999999999999,6.0,0.0,0.0,1.0,0.0,H
"{""Mn"": 0.019946, ""U"": 0.980054}",Mn-U,experimental,III,,0.0,0.026087930421553437,0.010391866000000001,6.019946,0.0,0.0,1.0,0.0,H
"{""Nb"": 0.046776, ""U"": 0.953224}",Nb-U,experimental,I,,0.052856879999999995,0.017665419963289904,0.019973352,5.953224,1.0,0.0,0.0,0.0,H
"{""Ti"": 0.036655, ""U"": 0.963345}",Ti-U,experimental,II,,0.0681783,0.010864126825470638,0.011473014999999998,5.926690000000001,0.0,1.0,0.0,0.0,M
"{""Ru"": 0.041219, ""U"": 0.958781}",Ru-U,experimental,II,,0.0,0.028199305314180495,0.03429420799999999,6.082438,1.0,0.0,0.0,0.0,H
"{""Ru"": 0.049323, ""U"": 0.950677}",Ru-U,experimental,II,,0.0,0.03075181421075807,0.04103673599999999,6.0986460000000005,1.0,0.0,0.0,0.0,H
